id,tree_id,grove_name,survey_year,dbh_cm,prefire_status,postfire_status,measure_delay,fire_id,fire_year,fire_name,cbi,rdnbr,unit_name,source,geometry,years_since_fire,postfire_status_inv
3194,EDCR863_T,Eden Creek,2023,162.3,1,1,5,2018EDEN,2018,Eden,1,53,Sequoia and Kings Canyon National Parks,"USGS, mortality","c(112827.030247596, -178725.985527423)",5,0
3195,EDCR864_T,Eden Creek,2023,143.8,1,1,5,2018EDEN,2018,Eden,1,53,Sequoia and Kings Canyon National Parks,"USGS, mortality","c(112829.270480176, -178727.177838245)",5,0
3196,EDCR689_T,Eden Creek,2023,275,1,1,5,2018EDEN,2018,Eden,1,69,Sequoia and Kings Canyon National Parks,"USGS, mortality","c(112944.107108407, -178605.474362972)",5,0
3197,EDCR698_T,Eden Creek,2023,334.2,1,1,5,2018EDEN,2018,Eden,1,111,Sequoia and Kings Canyon National Parks,"USGS, mortality","c(112944.320376478, -178623.820587779)",5,0
3199,EDCR694_T,Eden Creek,2023,365,1,1,5,2018EDEN,2018,Eden,1,46,Sequoia and Kings Canyon National Parks,"USGS, mortality","c(112983.932113578, -178613.797435785)",5,0
3200,EDCR686_T,Eden Creek,2023,337.9,1,1,5,2018EDEN,2018,Eden,1,119,Sequoia and Kings Canyon National Parks,"USGS, mortality","c(113023.685865547, -178604.698741049)",5,0
3201,EDCR699_T,Eden Creek,2023,353.9,1,1,5,2018EDEN,2018,Eden,1,51,Sequoia and Kings Canyon National Parks,"USGS, mortality","c(113026.036692178, -178620.762316974)",5,0
3202,EDCR714_T,Eden Creek,2023,331.4,1,1,5,2018EDEN,2018,Eden,1,117,Sequoia and Kings Canyon National Parks,"USGS, mortality","c(113017.254345321, -178695.685140236)",5,0
3204,EDCR858_T,Eden Creek,2023,147.9,1,1,5,2018EDEN,2018,Eden,1,116,Sequoia and Kings Canyon National Parks,"USGS, mortality","c(112960.678580172, -178681.362209207)",5,0
3206,EDCR853_T,Eden Creek,2023,177,1,1,5,2018EDEN,2018,Eden,1,128,Sequoia and Kings Canyon National Parks,"USGS, mortality","c(112959.749926647, -178654.970767305)",5,0
3207,EDCR855_T,Eden Creek,2023,121.3,1,1,5,2018EDEN,2018,Eden,2,180,Sequoia and Kings Canyon National Parks,"USGS, mortality","c(112938.067959208, -178663.743859594)",5,0
3208,EDCR717_T,Eden Creek,2023,293.4,1,1,5,2018EDEN,2018,Eden,1,109,Sequoia and Kings Canyon National Parks,"USGS, mortality","c(113010.466506519, -178713.887306155)",5,0
3209,EDCR762_T,Eden Creek,2023,274,1,1,5,2018EDEN,2018,Eden,1,27,Sequoia and Kings Canyon National Parks,"USGS, mortality","c(113416.519547629, -178980.70830076)",5,0
3210,EDCR757_T,Eden Creek,2023,382,1,1,5,2018EDEN,2018,Eden,1,71,Sequoia and Kings Canyon National Parks,"USGS, mortality","c(113422.208403819, -178949.274186718)",5,0
3211,EDCR760_T,Eden Creek,2023,337,1,1,5,2018EDEN,2018,Eden,1,59,Sequoia and Kings Canyon National Parks,"USGS, mortality","c(113368.374054127, -178965.629781274)",5,0
3213,EDCR957_T,Eden Creek,2023,165.4,1,1,5,2018EDEN,2018,Eden,1,89,Sequoia and Kings Canyon National Parks,"USGS, mortality","c(113301.757609059, -178950.950493129)",5,0
3214,EDCR758_T,Eden Creek,2023,224.7,1,1,5,2018EDEN,2018,Eden,1,89,Sequoia and Kings Canyon National Parks,"USGS, mortality","c(113302.143981209, -178959.292632895)",5,0
3215,EDCR759_T,Eden Creek,2023,220.2,1,1,5,2018EDEN,2018,Eden,1,80,Sequoia and Kings Canyon National Parks,"USGS, mortality","c(113303.772926566, -178964.442265151)",5,0
3216,EDCR768_T,Eden Creek,2023,381.3,1,1,5,2018EDEN,2018,Eden,1,55,Sequoia and Kings Canyon National Parks,"USGS, mortality","c(113291.837723131, -179007.816633021)",5,0
3217,EDCR898_T,Eden Creek,2023,140.9,1,1,5,2018EDEN,2018,Eden,1,25,Sequoia and Kings Canyon National Parks,"USGS, mortality","c(113294.508121136, -179062.115204766)",5,0
3218,EDCR899_T,Eden Creek,2023,157,1,1,5,2018EDEN,2018,Eden,1,25,Sequoia and Kings Canyon National Parks,"USGS, mortality","c(113291.662651343, -179066.725833502)",5,0
3219,EDCR900_T,Eden Creek,2023,172.3,1,1,5,2018EDEN,2018,Eden,1,25,Sequoia and Kings Canyon National Parks,"USGS, mortality","c(113285.614600292, -179073.808855218)",5,0
3221,EDCR767_T,Eden Creek,2023,296.3,1,1,5,2018EDEN,2018,Eden,1,55,Sequoia and Kings Canyon National Parks,"USGS, mortality","c(113295.364519023, -179004.865095996)",5,0
3222,EDCR897_T,Eden Creek,2023,160.5,1,1,5,2018EDEN,2018,Eden,1,-1,Sequoia and Kings Canyon National Parks,"USGS, mortality","c(113397.186491219, -179008.952074563)",5,0
3223,EDCR770_T,Eden Creek,2023,281.1,1,1,5,2018EDEN,2018,Eden,1,82,Sequoia and Kings Canyon National Parks,"USGS, mortality","c(113431.560457978, -179024.260319173)",5,0
3224,EDCR775_T,Eden Creek,2023,206,1,1,5,2018EDEN,2018,Eden,1,25,Sequoia and Kings Canyon National Parks,"USGS, mortality","c(113349.177799638, -179059.556998522)",5,0
3225,EDCR773_T,Eden Creek,2023,225.2,1,1,5,2018EDEN,2018,Eden,1,36,Sequoia and Kings Canyon National Parks,"USGS, mortality","c(113319.02898832, -179060.477978797)",5,0
3226,EDCR778_T,Eden Creek,2023,201.9,1,1,5,2018EDEN,2018,Eden,1,36,Sequoia and Kings Canyon National Parks,"USGS, mortality","c(113311.723227435, -179079.355755616)",5,0
3227,EDCR784_T,Eden Creek,2023,218.5,1,1,5,2018EDEN,2018,Eden,1,90,Sequoia and Kings Canyon National Parks,"USGS, mortality","c(113351.737066604, -179106.953794209)",5,0
3228,EDCR785_T,Eden Creek,2023,331,1,1,5,2018EDEN,2018,Eden,1,-23,Sequoia and Kings Canyon National Parks,"USGS, mortality","c(113398.987275754, -179120.783789247)",5,0
3229,EDCR1398_T,Eden Creek,2023,408.2,1,1,5,2018EDEN,2018,Eden,1,-36,Sequoia and Kings Canyon National Parks,"USGS, mortality","c(113874.610457903, -178740.899174478)",5,0
3230,EDCR1158_T,Eden Creek,2023,360.6,1,1,5,2018EDEN,2018,Eden,1,-36,Sequoia and Kings Canyon National Parks,"USGS, mortality","c(113863.21174181, -178737.13334399)",5,0
3232,EDCR1154_T,Eden Creek,2023,397.6,1,1,5,2018EDEN,2018,Eden,1,-16,Sequoia and Kings Canyon National Parks,"USGS, mortality","c(113820.09459682, -178728.312346673)",5,0
3233,EDCR1149_T,Eden Creek,2023,386.3,1,1,5,2018EDEN,2018,Eden,1,-32,Sequoia and Kings Canyon National Parks,"USGS, mortality","c(113917.84075375, -178693.304878736)",5,0
3234,EDCR1156_T,Eden Creek,2023,254.2,1,1,5,2018EDEN,2018,Eden,1,-36,Sequoia and Kings Canyon National Parks,"USGS, mortality","c(113906.856816484, -178731.031928376)",5,0
3235,EDCR1340_T,Eden Creek,2023,160.2,1,1,5,2018EDEN,2018,Eden,1,-36,Sequoia and Kings Canyon National Parks,"USGS, mortality","c(113746.848648567, -178782.511230482)",5,0
3236,EDCR1341_T,Eden Creek,2023,177.6,1,1,5,2018EDEN,2018,Eden,1,-2,Sequoia and Kings Canyon National Parks,"USGS, mortality","c(113775.896841009, -178794.179706785)",5,0
