"","dist_year","dist_type","dist_id","Hectares"
"120",2003,"mech_under",120,0.000528670840803534
"121",2003,"rx_pile",121,479.733579343166
"122",2004,"mech_under",122,2.05499654929712
"123",2004,"rx_pile",123,92.3508840929119
"124",2005,"mech_under",124,2.05499654929712
"125",2005,"rx_pile",125,68.6481936917607
"126",2006,"mech_under",126,7.79874011010562
"127",2006,"rx_pile",127,74.168944661728
"128",2007,"mech_under",128,10.8963828351764
"129",2008,"mech_under",129,3.11585429352548
"130",2008,"rx_pile",130,27.9973938522464
"131",2009,"mech_under",131,32.9330500019975
"132",2009,"rx_pile",132,166.21359098934
"133",2010,"mech_under",133,0.490477538236673
"134",2010,"rx_pile",134,20.0535962091422
"135",2011,"mech_under",135,4.79376074996127
"136",2011,"rx_pile",136,212.68107147555
"137",2012,"mech_under",137,247.828308871142
