"","last_trt","resist_class","X","resist_id","lowsev_fire","rx_pile","mech_under","modsev_fire","highsev_fire","diff.1.to.2","area_ha","test.high","test.mod","test.low","resist_class_f"
"75",1983,"Low resistance",1636,2656,0,0,2,0,0,12,0.0414706390047395,2,0,2,"Low resistance"
"76",1983,"Low resistance",1639,2663,0,0,4,0,0,12,0.00000000000000000000457533316788883,4,0,4,"Low resistance"
"77",1983,"Low resistance",1652,2686,0,0,1,0,0,1983,0.833758873580881,1,0,1,"Low resistance"
"78",1983,"Low resistance",4826,8007,0,0,1,0,0,1983,0.00125576836510686,1,0,1,"Low resistance"
"79",1983,"Moderate resistance",1643,2668,0,0,3,0,0,30,0.370977764449691,3,0,3,"Moderate resistance"
"80",1983,"Moderate resistance",1646,2674,0,0,2,0,0,31,1.48670863729188,2,0,2,"Moderate resistance"
"81",1983,"Moderate resistance",1651,2685,0,0,3,0,0,21,0.132482876599756,3,0,3,"Moderate resistance"
"82",1983,"Moderate resistance",4978,8428,0,1,0,0,0,1983,0.529517200728842,1,1,0,"Moderate resistance"
"83",1984,"High resistance",3823,6670,0,2,0,0,0,15,0.0163881084334204,2,2,0,"High resistance"
"84",1984,"High resistance",4980,8430,0,2,0,0,0,9,0.000169290426791122,2,2,0,"High resistance"
"85",1984,"Low resistance",691,1095,0,0,1,0,0,1984,0.00000000000000582076609134674,1,0,1,"Low resistance"
"86",1984,"Low resistance",4771,7911,0,0,1,0,0,1984,0.0000000000256928615272045,1,0,1,"Low resistance"
"87",1984,"Moderate resistance",3827,6676,0,1,0,0,0,1984,0.127840836433672,1,1,0,"Moderate resistance"
"88",1984,"Moderate resistance",4982,8433,0,1,0,0,0,1984,0.0000000000000223513682017346,1,1,0,"Moderate resistance"
"89",1985,"High resistance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High resistance"
"90",1985,"Low resistance",243,312,0,0,1,0,0,1985,0.000000000000275565525953425,1,0,1,"Low resistance"
"91",1985,"Low resistance",368,536,0,0,1,0,0,1985,0.140723469721113,1,0,1,"Low resistance"
"92",1985,"Low resistance",556,838,0,0,1,0,0,1985,0.00000000000000436557456851006,1,0,1,"Low resistance"
"93",1985,"Low resistance",694,1099,0,0,1,0,0,1985,0.0715212479865411,1,0,1,"Low resistance"
"94",1985,"Low resistance",702,1112,0,0,1,0,0,1985,0.0000000000000181898940354586,1,0,1,"Low resistance"
"95",1985,"Low resistance",4772,7912,0,0,1,0,0,1985,0.129824362313332,1,0,1,"Low resistance"
"96",1985,"Moderate resistance",3549,6315,0,1,0,0,0,1985,38.5589701075052,1,1,0,"Moderate resistance"
"97",1985,"Moderate resistance",3793,6634,0,1,0,0,0,1985,0.107573997492864,1,1,0,"Moderate resistance"
"98",1986,"High resistance",3548,6314,1,1,0,0,0,1,0.530814054885765,2,2,0,"High resistance"
"99",1986,"Low resistance",247,318,0,0,1,0,0,1986,0.175189569060976,1,0,1,"Low resistance"
"100",1986,"Low resistance",426,622,0,0,1,0,0,1986,1.53052156445195,1,0,1,"Low resistance"
"101",1986,"Low resistance",680,1081,0,0,1,0,0,1986,0.00000000000000145519152283669,1,0,1,"Low resistance"
"102",1986,"Moderate resistance",3537,6301,1,0,0,0,0,1986,22.5587295011294,1,1,0,"Moderate resistance"
"103",1986,"Moderate resistance",3539,6305,0,0,0,1,0,1986,0.0316995609184727,1,1,0,"Moderate resistance"
"104",1986,"Moderate resistance",4230,7100,1,0,0,0,0,1986,0.0720813585065594,1,1,0,"Moderate resistance"
"105",1987,"High resistance",19,21,1,0,0,1,0,0,0.0000000000000000909494701772928,2,2,0,"High resistance"
"106",1987,"High resistance",45,60,1,0,0,1,0,0,0.000000000000013824341671409,2,2,0,"High resistance"
"107",1987,"High resistance",4618,7669,1,1,0,0,0,11,0.0000000768052954299492,2,2,0,"High resistance"
"108",1987,"Low resistance",251,328,0,0,1,0,0,1987,0.0991619114806839,1,0,1,"Low resistance"
"109",1987,"Low resistance",952,1548,0,0,1,0,0,1987,0.00000000000000145519152283669,1,0,1,"Low resistance"
"110",1987,"Low resistance",1042,1663,0,0,1,0,0,1987,0.0284669075393293,1,0,1,"Low resistance"
"111",1987,"Moderate resistance",1,1,1,0,0,0,0,1987,0.00000000000000471687956709879,1,1,0,"Moderate resistance"
"112",1987,"Moderate resistance",17,20,1,0,0,0,0,1987,0,1,1,0,"Moderate resistance"
"113",1987,"Moderate resistance",18,21,1,0,0,1,0,1987,0.0000000000000000909494701772928,2,2,0,"Moderate resistance"
"114",1987,"Moderate resistance",20,22,0,0,0,1,0,1987,0.0000000000000342581962797794,1,1,0,"Moderate resistance"
"115",1987,"Moderate resistance",27,32,1,0,0,0,0,1987,0.0000000000000288309820462018,1,1,0,"Moderate resistance"
"116",1987,"Moderate resistance",28,34,0,0,0,1,0,1987,0.00000000000000145519152283669,1,1,0,"Moderate resistance"
"117",1987,"Moderate resistance",44,60,1,0,0,1,0,1987,0.000000000000013824341671409,2,2,0,"Moderate resistance"
"118",1987,"Moderate resistance",951,1547,0,0,2,0,0,20,0.0000000000000116415321826935,2,0,2,"Moderate resistance"
"119",1987,"Moderate resistance",1085,1702,1,0,0,0,0,1987,0.00000000000000582076609134674,1,1,0,"Moderate resistance"
"120",1987,"Moderate resistance",1088,1707,0,0,0,1,0,1987,0.000000000000038198777474463,1,1,0,"Moderate resistance"
"121",1987,"Moderate resistance",1656,2693,0,0,2,0,0,25,0.000000000000000727595761418343,2,0,2,"Moderate resistance"
"122",1987,"Moderate resistance",1657,2694,0,0,3,0,0,25,0.442960307165892,3,0,3,"Moderate resistance"
"123",1987,"Moderate resistance",1662,2702,0,0,2,0,0,29,0.000000193540366683354,2,0,2,"Moderate resistance"
"124",1987,"Moderate resistance",1665,2704,0,0,3,0,0,20,0.065498792246962,3,0,3,"Moderate resistance"
"125",1987,"Moderate resistance",1672,2711,0,0,4,0,0,25,0.00000000000000909494701772928,4,0,4,"Moderate resistance"
"126",1987,"Moderate resistance",1677,2719,0,0,2,0,0,28,0.000000000000023283064365387,2,0,2,"Moderate resistance"
"127",1987,"Moderate resistance",1689,2736,0,0,2,0,0,20,0.0014514705393507,2,0,2,"Moderate resistance"
"128",1987,"Moderate resistance",3006,5116,0,0,0,1,0,1987,0.0000000000000116415321826935,1,1,0,"Moderate resistance"
"129",1987,"Moderate resistance",3020,5176,1,0,0,0,0,1987,0.0000000000000361069396603853,1,1,0,"Moderate resistance"
"130",1987,"Moderate resistance",3021,5179,0,0,0,1,0,1987,0.0000000000000585714587941766,1,1,0,"Moderate resistance"
"131",1987,"Moderate resistance",3065,5364,1,0,0,0,0,1987,0.00000000000000436557456851006,1,1,0,"Moderate resistance"
"132",1987,"Moderate resistance",3066,5366,0,0,0,1,0,1987,0.0000000000000600266503170133,1,1,0,"Moderate resistance"
"133",1987,"Moderate resistance",3130,5570,1,0,0,0,0,1987,0.0000000000000401996658183634,1,1,0,"Moderate resistance"
"134",1987,"Moderate resistance",3131,5572,0,0,0,1,0,1987,0.0000000000000443833414465189,1,1,0,"Moderate resistance"
"135",1987,"Moderate resistance",4035,6893,0,1,0,0,0,1987,0.00000000000000218278728425503,1,1,0,"Moderate resistance"
"136",1987,"Moderate resistance",4306,7227,1,0,0,0,0,1987,0.0000000000000432919478043914,1,1,0,"Moderate resistance"
"137",1988,"High resistance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High resistance"
"138",1988,"Low resistance",1051,1673,0,0,1,0,0,1988,0.000000000000122417986858636,1,0,1,"Low resistance"
"139",1988,"Moderate resistance",3663,6484,1,0,0,0,0,1988,0.0293366797294235,1,1,0,"Moderate resistance"
"140",1988,"Moderate resistance",3916,6767,0,1,0,0,0,1988,0.116914715501012,1,1,0,"Moderate resistance"
"141",1989,"High resistance",3894,6745,0,2,0,0,0,7,0.00349254707127693,2,2,0,"High resistance"
