,resist_id,last_trt,area_ha,recent_dist_yr,recent_dist_type,unit_name,grove_name,prior1_dist_yr,prior1_dist_type,prior2_dist_yr,prior2_dist_type,keep,prior1_dist_yr_0,diff.1.to.2,resst_d
85,120,2023,0.090936765,2023,rx_pile,Calaveras Big Trees State Park,Calaveras North Grove,2022,rx_pile,2021,mech_under,T,2022,1,120
86,122,2023,14.90402707,2023,rx_pile,Calaveras Big Trees State Park,Calaveras North Grove,2021,mech_under,NA,NA,T,2021,2,122
87,123,2023,6.32906E-09,2023,rx_pile,Calaveras Big Trees State Park,Calaveras North Grove,2022,rx_pile,2014,mech_under,T,2022,1,123
88,124,2023,1.10557E-08,2023,rx_pile,Calaveras Big Trees State Park,Calaveras North Grove,NA,NA,NA,NA,T,0,2023,124
89,125,2024,81.07124092,2024,rx_pile,Calaveras Big Trees State Park,Calaveras South Grove,NA,NA,NA,NA,T,0,2024,125
90,126,2015,2.154781183,2015,modsev_fire,Giant Sequoia National Monument,Abbott,NA,NA,NA,NA,T,0,2015,126
91,128,2015,0.004026076,2015,highsev_fire,Giant Sequoia National Monument,Abbott,NA,NA,NA,NA,T,0,2015,128
92,129,2018,1.027323789,2018,mech_under,Giant Sequoia National Monument,Abbott,2015,modsev_fire,NA,NA,T,2015,3,129
93,131,2018,0.068478542,2018,mech_under,Giant Sequoia National Monument,Abbott,2015,highsev_fire,NA,NA,T,2015,3,131
94,132,2018,1.74623E-14,2018,mech_under,Giant Sequoia National Monument,Abbott,NA,NA,NA,NA,T,0,2018,132
95,133,2015,0.412513954,2015,lowsev_fire,Giant Sequoia National Monument,Agnew,NA,NA,NA,NA,T,0,2015,133
96,135,2015,3.344862131,2015,modsev_fire,Giant Sequoia National Monument,Agnew,NA,NA,NA,NA,T,0,2015,135
97,137,2015,0.296433831,2015,highsev_fire,Giant Sequoia National Monument,Agnew,NA,NA,NA,NA,T,0,2015,137
98,138,2020,0.992306681,2020,lowsev_fire,Giant Sequoia National Monument,Alder Creek,NA,NA,NA,NA,T,0,2020,138
99,139,2020,7.27601E-16,2020,lowsev_fire,Giant Sequoia National Monument,Alder Creek,NA,NA,NA,NA,T,0,2020,139
100,139,2020,7.27601E-16,2020,modsev_fire,Giant Sequoia National Monument,Alder Creek,2020,lowsev_fire,NA,NA,T,2020,0,139
101,140,2020,4.856494388,2020,modsev_fire,Giant Sequoia National Monument,Alder Creek,NA,NA,NA,NA,T,0,2020,140
102,142,2020,19.90234359,2020,highsev_fire,Giant Sequoia National Monument,Alder Creek,NA,NA,NA,NA,T,0,2020,142
103,143,2017,0.000127768,2017,lowsev_fire,Giant Sequoia National Monument,Alder Creek,NA,NA,NA,NA,T,0,2017,143
104,144,2020,0.026813634,2020,lowsev_fire,Giant Sequoia National Monument,Alder Creek,2002,mech_under,NA,NA,T,2002,18,144
105,145,2022,0.018482287,2022,mech_under,Giant Sequoia National Monument,Alder Creek,2020,modsev_fire,NA,NA,T,2020,2,145
106,147,2022,0.276553455,2022,mech_under,Giant Sequoia National Monument,Alder Creek,2020,highsev_fire,NA,NA,T,2020,2,147
107,148,2022,1.81899E-14,2022,mech_under,Giant Sequoia National Monument,Alder Creek,NA,NA,NA,NA,T,0,2022,148
108,149,2024,0.206205434,2024,mech_under,Giant Sequoia National Monument,Alder Creek,2017,lowsev_fire,NA,NA,T,2017,7,149
109,150,2024,0.083325234,2024,mech_under,Giant Sequoia National Monument,Alder Creek,2020,lowsev_fire,2017,lowsev_fire,T,2020,4,150
110,151,2024,9.36854E-08,2024,mech_under,Giant Sequoia National Monument,Alder Creek,2020,highsev_fire,2020,lowsev_fire,T,2020,4,151
111,153,2024,0.084649193,2024,mech_under,Giant Sequoia National Monument,Alder Creek,2002,mech_under,NA,NA,T,2002,22,153
112,154,2024,0.121658153,2024,mech_under,Giant Sequoia National Monument,Alder Creek,2020,lowsev_fire,2002,mech_under,T,2020,4,154
113,155,2024,1.382552626,2024,mech_under,Giant Sequoia National Monument,Alder Creek,2020,lowsev_fire,NA,NA,T,2020,4,155
114,156,2024,1.09577E-07,2024,mech_under,Giant Sequoia National Monument,Alder Creek,2020,modsev_fire,2020,lowsev_fire,T,2020,4,156
115,157,2024,0.39926071,2024,mech_under,Giant Sequoia National Monument,Alder Creek,2020,modsev_fire,NA,NA,T,2020,4,157
116,159,2024,4.071921732,2024,mech_under,Giant Sequoia National Monument,Alder Creek,2020,highsev_fire,NA,NA,T,2020,4,159
117,160,2024,1.086636075,2024,mech_under,Giant Sequoia National Monument,Alder Creek,NA,NA,NA,NA,T,0,2024,160
118,161,2017,1.238925647,2017,lowsev_fire,Giant Sequoia National Monument,Alder Creek,1989,mech_under,NA,NA,T,1989,28,161
119,162,1989,5.025351234,1989,mech_under,Giant Sequoia National Monument,Alder Creek,NA,NA,NA,NA,T,0,1989,162
120,163,2024,5.82077E-15,2024,mech_under,Giant Sequoia National Monument,Alder Creek,1981,mech_under,NA,NA,T,1981,43,163
121,164,2024,0.000123351,2024,mech_under,Giant Sequoia National Monument,Alder Creek,2020,lowsev_fire,2017,lowsev_fire,T,2020,4,164
122,168,2024,0.055869124,2024,mech_under,Giant Sequoia National Monument,Alder Creek,2020,lowsev_fire,1981,mech_under,T,2020,4,168
123,169,2024,0.009489482,2024,mech_under,Giant Sequoia National Monument,Alder Creek,2020,modsev_fire,1981,mech_under,T,2020,4,169
124,171,2024,0.144278524,2024,mech_under,Giant Sequoia National Monument,Alder Creek,2020,highsev_fire,1981,mech_under,T,2020,4,171
125,172,1981,1.60071E-14,1981,mech_under,Giant Sequoia National Monument,Alder Creek,NA,NA,NA,NA,T,0,1981,172
126,173,2024,0.070721532,2024,mech_under,Giant Sequoia National Monument,Alder Creek,2018,mech_under,2017,lowsev_fire,T,2018,6,173
127,174,2018,0.037655239,2018,mech_under,Giant Sequoia National Monument,Alder Creek,2017,lowsev_fire,1981,mech_under,T,2017,1,174
128,175,2024,0.056802507,2024,mech_under,Giant Sequoia National Monument,Alder Creek,2018,mech_under,2017,lowsev_fire,T,2018,6,175
129,176,2024,0.206266087,2024,mech_under,Giant Sequoia National Monument,Alder Creek,2018,mech_under,NA,NA,T,2018,6,176
130,177,2024,0.032460484,2024,mech_under,Giant Sequoia National Monument,Alder Creek,2020,highsev_fire,2018,mech_under,T,2020,4,177
131,178,2024,0.098930844,2024,mech_under,Giant Sequoia National Monument,Alder Creek,2020,lowsev_fire,2018,mech_under,T,2020,4,178
132,179,2020,0.049037077,2020,lowsev_fire,Giant Sequoia National Monument,Alder Creek,2018,mech_under,NA,NA,T,2018,2,179
133,180,2024,0.164201429,2024,mech_under,Giant Sequoia National Monument,Alder Creek,2020,modsev_fire,2018,mech_under,T,2020,4,180
134,182,2024,3.186895802,2024,mech_under,Giant Sequoia National Monument,Alder Creek,2020,highsev_fire,2018,mech_under,T,2020,4,182
135,183,2020,5.55112E-21,2020,lowsev_fire,Giant Sequoia National Monument,Alder Creek,2018,mech_under,NA,NA,T,2018,2,183
136,183,2020,5.55112E-21,2020,modsev_fire,Giant Sequoia National Monument,Alder Creek,2020,lowsev_fire,2018,mech_under,T,2020,0,183
137,184,2020,0.057584537,2020,modsev_fire,Giant Sequoia National Monument,Alder Creek,2018,mech_under,NA,NA,T,2018,2,184
138,186,2020,9.614650535,2020,highsev_fire,Giant Sequoia National Monument,Alder Creek,2018,mech_under,NA,NA,T,2018,2,186
139,187,2018,0.09627775,2018,mech_under,Giant Sequoia National Monument,Alder Creek,2017,lowsev_fire,NA,NA,T,2017,1,187
140,188,2024,2.64182E-07,2024,mech_under,Giant Sequoia National Monument,Alder Creek,2020,modsev_fire,2020,lowsev_fire,T,2020,4,188
