"","resist_id","combo_fire_mech","highsev_fire","lowsev_fire","mech_under","modsev_fire","rx_pile","last_dist_yr","last_dist_type","area_ha","ever.high","diff.1.to.2"
"1197",3977,0,0,1,0,0,2,2021,"lowsev_fire",0.673688005377725,"never high sev",9
"1198",3979,0,0,1,0,0,2,2021,"lowsev_fire",0.732265440020265,"never high sev",44
"1199",3985,0,0,1,0,0,2,2021,"lowsev_fire",1.46759999270229,"never high sev",9
"1200",3986,0,0,1,0,0,2,2021,"lowsev_fire",0.0311880051577788,"never high sev",9
"1201",3987,0,0,1,0,0,2,2021,"lowsev_fire",0.469637081674966,"never high sev",5
"1202",3992,0,0,1,0,0,2,2021,"lowsev_fire",4.79166393247957,"never high sev",10
"1203",4001,0,0,1,0,0,2,2021,"lowsev_fire",0.181407062266843,"never high sev",10
"1204",4005,0,0,1,0,0,2,2021,"lowsev_fire",0.0519580068561714,"never high sev",5
"1205",4007,0,0,1,0,0,2,2021,"lowsev_fire",0.504059736493307,"never high sev",5
"1206",4010,0,0,1,0,0,2,2021,"lowsev_fire",0.0398093278371904,"never high sev",5
"1207",4011,0,0,1,0,0,2,2021,"lowsev_fire",3.04692235739591,"never high sev",15
"1208",4013,0,0,1,0,0,2,2021,"lowsev_fire",0.045497523994236,"never high sev",15
"1209",4045,0,0,1,2,0,0,2020,"lowsev_fire",8.72507477350521,"never high sev",18
"1210",4053,0,0,1,2,0,0,2020,"lowsev_fire",0.777257756215253,"never high sev",2
"1211",4063,0,0,1,1,0,0,2020,"lowsev_fire",4.91060180250987,"never high sev",59
"1212",4065,0,0,1,1,0,1,2020,"lowsev_fire",0.00000000000547060696972872,"never high sev",8
"1213",4068,0,0,1,1,0,1,2020,"lowsev_fire",0.157798513174686,"never high sev",8
"1214",4069,0,0,1,1,0,1,2020,"lowsev_fire",0.00570162526592376,"never high sev",8
"1215",4071,0,0,1,2,0,0,2020,"lowsev_fire",0.0000000000027149894194921,"never high sev",18
"1216",4085,0,0,1,1,0,0,2020,"lowsev_fire",2.65066843735285,"never high sev",58
"1217",4087,0,0,1,1,0,1,2020,"lowsev_fire",0.000190772207139051,"never high sev",8
