resist_id,lowsev_fire,rx_pile,mech_under,modsev_fire,highsev_fire,last_trt,diff.1.to.2,area_ha,resist_class,,resst_d
272,0,3,1,0,0,2023,1,3.4173E-07,High resistance,,272
272,0,3,1,0,0,2023,0,3.4173E-07,High resistance,,272
275,0,4,2,0,0,2023,1,1.26412E-07,High resistance,,275
275,0,4,2,0,0,2023,0,1.26412E-07,High resistance,,275
277,0,3,3,0,0,2023,1,2.98013E-07,High resistance,,277
277,0,3,3,0,0,2023,0,2.98013E-07,High resistance,,277
280,0,2,0,0,0,2022,5,5.90631E-05,High resistance,,280
281,0,2,1,0,0,2022,5,0.687718597,High resistance,,281
282,0,1,0,0,0,2022,2022,10.22944263,Moderate resistance,,282
283,0,3,1,0,0,2023,2,2.09758E-07,High resistance,,283
283,0,3,1,0,0,2023,0,2.09758E-07,High resistance,,283
284,0,2,1,0,0,2023,2,1.65E-15,High resistance,,284
285,0,3,0,0,0,2023,6,8.52651E-18,High resistance,,285
286,0,2,0,0,0,2023,7,1.38778E-21,High resistance,,286
287,0,1,1,0,0,2016,2016,4.14673E-15,Moderate resistance,,287
287,0,1,1,0,0,2016,0,4.14673E-15,High resistance,,287
290,0,4,2,0,0,2023,2,1.91948E-08,High resistance,,290
290,0,4,2,0,0,2023,0,1.91948E-08,High resistance,,290
291,0,2,0,0,0,2017,1,6.92359E-05,High resistance,,291
292,0,2,1,0,0,2017,1,9.196112505,High resistance,,292
296,0,1,0,0,0,2016,2016,0.399989684,Moderate resistance,,296
297,1,0,0,0,0,2021,2021,0.163102452,Moderate resistance,,297
299,0,0,0,1,0,2021,2021,0.000130531,Moderate resistance,,299
300,1,0,0,0,0,2017,2017,132.7042319,Moderate resistance,,300
302,0,0,0,1,0,2017,2017,48.70260888,Moderate resistance,,302
306,0,0,0,0,1,2017,2017,5.624084644,Loss of mature forest,,306
308,0,0,1,0,1,2017,32,0.173960579,Loss of mature forest,,308
310,0,0,1,1,0,2017,32,2.755793486,Moderate resistance,,310
311,1,0,1,0,0,2017,32,1.254467982,Moderate resistance,,311
312,0,0,1,0,0,1985,1985,2.75566E-13,Faded resistance,,312
314,0,0,1,0,1,2017,31,2.945945074,Loss of mature forest,,314
316,0,0,1,1,0,2017,31,2.89539853,Moderate resistance,,316
317,1,0,1,0,0,2017,31,4.35702073,Moderate resistance,,317
318,0,0,1,0,0,1986,1986,0.175189569,Faded resistance,,318
322,0,0,1,0,1,2017,30,1.646574762,Loss of mature forest,,322
323,0,0,1,1,0,2017,30,8.771256264,Moderate resistance,,323
326,1,0,1,0,0,2017,30,11.19484807,Moderate resistance,,326
328,0,0,1,0,0,1987,1987,0.099161911,Faded resistance,,328
330,0,0,1,0,1,2017,1,0.858518654,Loss of mature forest,,330
331,0,0,1,1,0,2017,1,5.456272321,High resistance,,331
333,1,0,2,0,0,2017,1,0.335063002,High resistance,,333
335,1,0,2,0,0,2017,1,2.439248466,High resistance,,335
336,0,0,2,1,0,2017,1,0.925787167,High resistance,,336
337,0,0,2,0,0,2016,30,0.915673156,Moderate resistance,,337
338,1,0,1,0,0,2017,1,14.36207613,High resistance,,338
340,0,0,2,0,1,2017,1,0.351617832,Loss of mature forest,,340
341,0,0,1,0,0,2016,2016,4.00498099,Low resistance,,341
342,0,0,1,1,0,2021,4,0.053370953,High resistance,,342
345,0,0,1,0,0,2018,2018,1.07957E-13,Low resistance,,345
347,1,1,2,0,0,2021,3,0.028996999,High resistance,,347
348,1,1,1,0,0,2021,3,5.82077E-15,High resistance,,348
349,0,1,2,0,0,2018,2,1.357614395,High resistance,,349
349,0,1,2,0,0,2018,0,1.357614395,High resistance,,349
350,1,1,2,0,0,2018,1,1.202427838,High resistance,,350
350,1,1,2,0,0,2018,0,1.202427838,High resistance,,350
352,0,0,1,0,1,2017,2,1.839889955,Loss of mature forest,,352
353,2,0,2,0,0,2017,2,0.071466427,High resistance,,353
355,0,0,1,1,0,2017,2,15.18629509,High resistance,,355
357,2,0,1,0,0,2017,2,0.467949098,High resistance,,357
358,0,0,2,1,0,2017,2,4.183438775,High resistance,,358
359,0,0,2,1,0,2017,1,0.048084968,High resistance,,359
360,0,0,2,1,0,2017,2,0.180000049,High resistance,,360
362,0,0,2,0,1,2017,1,0.044418088,Loss of mature forest,,362
363,1,0,1,0,0,2017,2,50.24934484,High resistance,,363
365,0,1,3,0,0,2018,2,0.302019073,High resistance,,365
365,0,1,3,0,0,2018,0,0.302019073,High resistance,,365
367,1,1,3,0,0,2018,1,0.063485027,High resistance,,367
367,1,1,3,0,0,2018,0,0.063485027,High resistance,,367
371,1,0,2,0,0,2017,1,0.916873439,High resistance,,371
372,0,0,2,0,0,2016,1,2.020295762,Low resistance,,372
374,0,0,2,0,1,2017,2,2.55891438,Loss of mature forest,,374
375,0,0,2,0,0,2015,30,0.202696949,Moderate resistance,,375
378,1,0,2,0,0,2017,2,1.439434871,High resistance,,378
379,0,0,2,0,0,2015,28,0.329659637,Moderate resistance,,379
380,1,0,2,0,0,2017,2,1.971712179,High resistance,,380
381,0,0,1,0,0,2015,2015,13.26356302,Low resistance,,381
387,0,2,3,0,0,2018,2,2.51021E-14,High resistance,,387
387,0,2,3,0,0,2018,0,2.51021E-14,High resistance,,387
390,0,1,0,0,0,2016,2016,1.02737E-12,Moderate resistance,,390
396,1,2,2,0,0,2021,4,1.16415E-14,High resistance,,396
401,1,2,1,0,0,2021,4,4.820138415,High resistance,,401
405,1,3,3,0,0,2021,3,1.486292877,High resistance,,405
409,1,3,2,0,0,2021,3,5.23869E-14,High resistance,,409
418,0,2,1,0,0,2018,1,1.89831E-14,High resistance,,418
421,1,2,1,0,0,2017,1,1.774465589,High resistance,,421
421,1,2,1,0,0,2017,0,1.774465589,High resistance,,421
422,0,2,1,1,0,2017,1,0.08471253,High resistance,,422
422,0,2,1,1,0,2017,0,0.08471253,High resistance,,422
424,0,3,3,0,0,2018,1,3.044937548,High resistance,,424
424,0,3,3,0,0,2018,0,3.044937548,High resistance,,424
425,2,3,3,0,0,2021,3,0.009062512,High resistance,,425
426,1,3,3,0,0,2018,1,0.92425671,High resistance,,426
426,1,3,3,0,0,2018,0,0.92425671,High resistance,,426
428,0,2,1,0,0,2017,1,10.84511788,High resistance,,428
430,0,1,1,0,0,2017,2,5.38421E-14,High resistance,,430
431,0,1,0,0,0,2017,2017,3.89991E-13,Moderate resistance,,431
433,0,0,1,1,0,2017,6,1.39698E-13,High resistance,,433
434,1,0,1,0,0,2017,6,4.65661E-14,High resistance,,434
435,0,0,1,0,0,2011,2011,2.79397E-13,Low resistance,,435
436,1,0,2,0,0,2017,6,0,High resistance,,436
441,0,1,1,0,0,2011,1,2.56114E-13,High resistance,,441
442,1,1,2,0,0,2017,6,0,High resistance,,442
443,0,2,2,1,0,2021,10,2.77391E-05,High resistance,,443
452,1,2,2,0,0,2021,10,0.001302829,High resistance,,452
454,1,2,2,0,0,2017,6,0.01005836,High resistance,,454
457,0,2,2,0,0,2011,1,0.001307691,High resistance,,457
457,0,2,2,0,0,2011,0,0.001307691,High resistance,,457
458,0,2,2,1,0,2017,6,0.001003909,High resistance,,458
460,0,1,2,0,0,2011,1,2.32831E-14,High resistance,,460
461,1,2,3,0,0,2021,10,1.73154E-06,High resistance,,461
465,1,0,2,0,0,2021,10,0,High resistance,,465
467,1,0,3,0,0,2021,10,2.91038E-15,High resistance,,467
469,0,0,3,0,0,2011,1,1.86517E-18,Low resistance,,469
475,0,2,3,0,0,2011,1,5.4672E-06,High resistance,,475
475,0,2,3,0,0,2011,0,5.4672E-06,High resistance,,475
478,1,0,1,0,0,2021,14,0.00097583,High resistance,,478
479,1,3,4,0,0,2021,3,0.084533911,High resistance,,479
482,0,1,4,0,0,2018,2,0.118181724,High resistance,,482
482,0,1,4,0,0,2018,0,0.118181724,High resistance,,482
483,0,1,3,0,0,2018,2,0.017489861,High resistance,,483
483,0,1,3,0,0,2018,0,0.017489861,High resistance,,483
485,0,3,4,0,0,2018,1,2.204154491,High resistance,,485
485,0,3,4,0,0,2018,0,2.204154491,High resistance,,485
486,2,3,4,0,0,2021,3,0.005146761,High resistance,,486
487,1,3,4,0,0,2018,1,0.50589047,High resistance,,487
487,1,3,4,0,0,2018,0,0.50589047,High resistance,,487
488,0,2,2,0,0,2017,1,0.024362517,High resistance,,488
492,0,0,1,0,0,2007,2007,0.010628483,Faded resistance,,492
496,0,1,4,0,0,2022,4,0.010570468,High resistance,,496
500,0,0,3,0,0,2022,6,6.11861489,Low resistance,,500
501,0,0,2,1,0,2022,5,4.793789179,High resistance,,501
502,1,0,3,0,0,2022,5,7.520862562,High resistance,,502
503,1,0,2,0,0,2022,5,37.70498739,High resistance,,503
507,0,0,2,0,0,2022,7,21.04351284,Low resistance,,507
509,0,0,3,1,0,2022,5,1.040355013,High resistance,,509
510,0,0,3,0,1,2022,5,0.115488797,Loss of mature forest,,510
511,0,0,2,0,1,2022,5,4.175939715,Loss of mature forest,,511
512,0,0,2,0,0,2022,6,1.598660161,Low resistance,,512
514,1,0,2,0,0,2022,5,0.366181179,High resistance,,514
