"","dist_year","dist_type","grove_name","unit_name","landowner","hectares","dist_group"
"54",1995,"lowsev_fire","Castle Creek","Sequoia and Kings Canyon National Parks","National Park Service",46.1,"Wildfire"
"55",1995,"modsev_fire","Castle Creek","Sequoia and Kings Canyon National Parks","National Park Service",2.6,"Wildfire"
"56",1995,"undetected_change","Castle Creek","Sequoia and Kings Canyon National Parks","National Park Service",8.8,"Wildfire"
"57",1995,"undetected_change","Eden Creek","Sequoia and Kings Canyon National Parks","National Park Service",0.6,"Wildfire"
"58",1996,"lowsev_fire","Castle Creek","Sequoia and Kings Canyon National Parks","National Park Service",7.9,"Wildfire"
"59",1996,"lowsev_fire","Redwood Meadow","Sequoia and Kings Canyon National Parks","National Park Service",8.8,"Wildfire"
"60",1996,"modsev_fire","Castle Creek","Sequoia and Kings Canyon National Parks","National Park Service",0.2,"Wildfire"
"61",1996,"modsev_fire","Redwood Meadow","Sequoia and Kings Canyon National Parks","National Park Service",0.3,"Wildfire"
"62",1996,"undetected_change","Castle Creek","Sequoia and Kings Canyon National Parks","National Park Service",5.5,"Wildfire"
"63",1996,"undetected_change","Redwood Meadow","Sequoia and Kings Canyon National Parks","National Park Service",2.5,"Wildfire"
"64",1997,"lowsev_fire","Giant Forest","Sequoia and Kings Canyon National Parks","National Park Service",0.3,"Wildfire"
"65",1997,"undetected_change","Giant Forest","Sequoia and Kings Canyon National Parks","National Park Service",0.7,"Wildfire"
"66",1999,"undetected_change","New Oriole Lake","Sequoia and Kings Canyon National Parks","National Park Service",0.3,"Wildfire"
"67",2002,"undetected_change","Giant Forest","Sequoia and Kings Canyon National Parks","National Park Service",5.9,"Wildfire"
"68",2003,"lowsev_fire","Giant Forest","Sequoia and Kings Canyon National Parks","National Park Service",58.2,"Wildfire"
"69",2003,"modsev_fire","Giant Forest","Sequoia and Kings Canyon National Parks","National Park Service",0.3,"Wildfire"
"70",2003,"undetected_change","Giant Forest","Sequoia and Kings Canyon National Parks","National Park Service",38.2,"Wildfire"
"71",2006,"lowsev_fire","Mountain Home","Mountain Home Demonstration State Forest","Mountain Home Demonstration State Forest",0.3,"Wildfire"
"72",2006,"lowsev_fire","Redwood Mountain","Sequoia and Kings Canyon National Parks","National Park Service",0,"Wildfire"
"73",2006,"undetected_change","Mountain Home","Mountain Home Demonstration State Forest","Mountain Home Demonstration State Forest",0.4,"Wildfire"
"74",2006,"undetected_change","Redwood Mountain","Sequoia and Kings Canyon National Parks","National Park Service",0.2,"Wildfire"
"75",2008,"highsev_fire","Skagway","Sequoia and Kings Canyon National Parks","National Park Service",0.1,"Wildfire"
"76",2008,"lowsev_fire","Skagway","Sequoia and Kings Canyon National Parks","National Park Service",4.1,"Wildfire"
"77",2008,"lowsev_fire","Black Mountain","Giant Sequoia National Monument","US Forest Service",0.5,"Wildfire"
"78",2008,"modsev_fire","Skagway","Sequoia and Kings Canyon National Parks","National Park Service",0.3,"Wildfire"
"79",2008,"undetected_change","Skagway","Sequoia and Kings Canyon National Parks","National Park Service",0.9,"Wildfire"
"80",2008,"undetected_change","Black Mountain","Giant Sequoia National Monument","US Forest Service",14.4,"Wildfire"
"81",2009,"undetected_change","Lost","Sequoia and Kings Canyon National Parks","National Park Service",2.9,"Wildfire"
