id,grove,survey_year,postfire_status,prefire_status,source,survey_fire,gps_offset_m,dbh_cm,gps_offset_deg,total_offset_m,gps_reset_radians,geometry
HONO405_T,Homers Nose,2023,Alive,Alive,"USGS, mortality",post_castle,NA,7.62,NA,NA,NA,"c(114074.424097703, -181958.32881994)"
HONO403_T,Homers Nose,2023,Alive,Alive,"USGS, mortality",post_castle,NA,60.96,NA,NA,NA,"c(114090.355844825, -181954.659530267)"
HONO402_T,Homers Nose,2023,Dead,unknown,"USGS, mortality",post_castle,NA,60.96,NA,NA,NA,"c(114100.265062401, -181952.805510761)"
HONO505_T,Homers Nose,2023,Dead,unknown,"USGS, mortality",post_castle,NA,30.48,NA,NA,NA,"c(114108.645394493, -181946.147448274)"
HONO392_T,Homers Nose,2023,Alive,Alive,"USGS, mortality",post_castle,NA,152.4,NA,NA,NA,"c(114115.708443224, -181928.178304332)"
HONO391_T,Homers Nose,2023,Tree Not Found,unknown,"USGS, mortality",post_castle,NA,60.96,NA,NA,NA,"c(114124.572381327, -181923.918044194)"
HONO350_T,Homers Nose,2023,Alive,Alive,"USGS, mortality",post_castle,NA,182.88,NA,NA,NA,"c(114132.632833469, -181945.78379497)"
HONO349_T,Homers Nose,2023,Alive,Alive,"USGS, mortality",post_castle,NA,182.88,NA,NA,NA,"c(114140.24834892, -181943.18804726)"
HONO507_T,Homers Nose,2023,Tree Not Found,unknown,"USGS, mortality",post_castle,NA,91.44,NA,NA,NA,"c(114140.581864258, -181951.385505898)"
HONO369_T,Homers Nose,2023,Dead,unknown,"USGS, mortality",post_castle,NA,60.96,NA,NA,NA,"c(114165.258076213, -181825.98950442)"
HONO338_T,Homers Nose,2023,Alive,Alive,"USGS, mortality",post_castle,NA,182.88,NA,NA,NA,"c(114173.826912372, -181856.446059565)"
HONO337_T,Homers Nose,2023,Alive,Alive,"USGS, mortality",post_castle,NA,304.8,NA,NA,NA,"c(114282.303003142, -181833.984941841)"
HONO508_T,Homers Nose,2023,Dead,Alive,"USGS, mortality",post_castle,NA,243.84,NA,NA,NA,"c(114304.441156151, -181817.201296944)"
HONO375_T,Homers Nose,2023,Dead,unknown,"USGS, mortality",post_castle,NA,7.62,NA,NA,NA,"c(114326.554820699, -181831.409336902)"
HONO510_T,Homers Nose,2023,Dead,unknown,"USGS, mortality",post_castle,NA,60.96,NA,NA,NA,"c(114326.764046256, -181833.119314024)"
HONO509_T,Homers Nose,2023,Tree Not Found,unknown,"USGS, mortality",post_castle,NA,60.96,NA,NA,NA,"c(114315.728581217, -181842.51114738)"
HONO379_T,Homers Nose,2023,Dead,unknown,"USGS, mortality",post_castle,NA,60.96,NA,NA,NA,"c(114304.829996767, -181844.463350983)"
HONO377_T,Homers Nose,2023,Dead,unknown,"USGS, mortality",post_castle,NA,60.96,NA,NA,NA,"c(114305.902586499, -181842.479682705)"
HONO376_T,Homers Nose,2023,Dead,unknown,"USGS, mortality",post_castle,NA,91.44,NA,NA,NA,"c(114302.552261451, -181839.007402448)"
HONO378_T,Homers Nose,2023,Dead,unknown,"USGS, mortality",post_castle,NA,60.96,NA,NA,NA,"c(114292.563361014, -181843.429221754)"
HONO382_T,Homers Nose,2023,Dead,unknown,"USGS, mortality",post_castle,NA,60.96,NA,NA,NA,"c(114305.004898245, -181853.585689658)"
HONO383_T,Homers Nose,2023,Dead,unknown,"USGS, mortality",post_castle,NA,91.44,NA,NA,NA,"c(114309.220155352, -181853.615794422)"
HONO388_T,Homers Nose,2023,Dead,unknown,"USGS, mortality",post_castle,NA,30.48,NA,NA,NA,"c(114310.795998095, -181872.912259846)"
HONO386_T,Homers Nose,2023,Tree Not Found,unknown,"USGS, mortality",post_castle,NA,91.44,NA,NA,NA,"c(114305.527391946, -181865.111102871)"
HONO385_T,Homers Nose,2023,Dead,unknown,"USGS, mortality",post_castle,NA,30.48,NA,NA,NA,"c(114300.719780665, -181857.945826114)"
HONO343_T,Homers Nose,2023,Alive,Alive,"USGS, mortality",post_castle,NA,274.32,NA,NA,NA,"c(114266.834169177, -181860.140128062)"
HONO381_T,Homers Nose,2023,Dead,unknown,"USGS, mortality",post_castle,NA,30.48,NA,NA,NA,"c(114215.92513461, -181875.855217649)"
HONO557_T,Homers Nose,2023,Dead,unknown,"USGS, mortality",post_castle,NA,60.96,NA,NA,NA,"c(114211.837334482, -181875.216867754)"
HONO339_T,Homers Nose,2023,Alive,Alive,"USGS, mortality",post_castle,NA,243.84,NA,NA,NA,"c(114190.928939704, -181869.404408619)"
