id,grove,survey_year,postfire_status,prefire_status,source,survey_fire,gps_offset_m,dbh_cm,gps_offset_deg,total_offset_m,gps_reset_radians,geometry,tree_number,death_by,pcvs,pcvc,x1999_dbh,x1999_height,x1999_comments,area,perimeter,giant,giant_id,dbh,ht,crowncls,htcb,damdis,folqual,nests,wdpkr,comments,scardbh,scargrnd,scarht,htbranch,toplcrn,leanaz,disth2o,plot,az,dist,gps,distance,az_road,near_fid,near_dist,near_x,near_y,status
Middle Tule46,Middle Tule,2022,Live,Live,"USFS, Meyer",post_castle,15,206.58263305322131,0,16.032913165266105,-0,"c(119892.764097718, -194058.359397862)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Middle Tule47,Middle Tule,2022,Live,Live,"USFS, Meyer",post_castle,15,194.16857652151768,0,15.970842882607588,-0,"c(119892.984910391, -194065.429041801)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Middle Tule48,Middle Tule,2022,Live,Live,"USFS, Meyer",post_castle,15,291.5711739241151,0,16.457855869620577,-0,"c(119889.070680607, -194068.069828819)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Middle Tule49,Middle Tule,2022,Live,Live,"USFS, Meyer",post_castle,15,163.292589763178,0,15.81646294881589,-0,"c(119883.693253901, -194055.85434947)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Middle Tule410,Middle Tule,2022,Live,Live,"USFS, Meyer",post_castle,15,222.81639928698752,0,16.114081996434937,-0,"c(119874.421086888, -194078.893838195)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Middle Tule411,Middle Tule,2022,Live,Live,"USFS, Meyer",post_castle,15,264.1965877259995,0,16.320982938629996,-0,"c(119861.719409441, -194088.102955894)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Middle Tule412,Middle Tule,2022,Live,Live,"USFS, Meyer",post_castle,15,183.02775655716832,0,15.915138782785842,-0,"c(119874.427307305, -194079.092994743)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Middle Tule413,Middle Tule,2022,Live,Live,"USFS, Meyer",post_castle,15,188.43901196842376,0,15.942195059842119,-0,"c(119857.485958367, -194048.533086336)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Middle Tule414,Middle Tule,2022,Live,Live,"USFS, Meyer",post_castle,15,197.98828622358033,0,15.989941431117902,-0,"c(119860.072592062, -194035.377519041)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Middle Tule415,Middle Tule,2022,Live,Live,"USFS, Meyer",post_castle,15,224.4079449961803,0,16.1220397249809,-0,"c(119833.239752978, -194008.0284367)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Middle Tule416,Middle Tule,2022,Live,Live,"USFS, Meyer",post_castle,15,216.76852559205503,0,16.083842627960276,-0,"c(119840.976413201, -193999.807884529)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Middle Tule417,Middle Tule,2022,Live,Live,"USFS, Meyer",post_castle,15,205.30939648586707,0,16.026546982429334,-0,"c(119856.5140309, -194017.415399713)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Middle Tule418,Middle Tule,2022,Live,Live,"USFS, Meyer",post_castle,15,191.3037942449707,0,15.956518971224854,-0,"c(119857.451886356, -194015.452081575)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Middle Tule419,Middle Tule,2022,Live,Live,"USFS, Meyer",post_castle,15,217.0868347338936,0,16.08543417366947,-0,"c(119864.247656185, -194009.097658551)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Middle Tule420,Middle Tule,2022,Live,Live,"USFS, Meyer",post_castle,15,314.80774127832956,0,16.574038706391647,-0,"c(119875.866845387, -193997.221414828)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Middle Tule421,Middle Tule,2022,Live,Live,"USFS, Meyer",post_castle,15,309.07817672523555,0,16.545390883626176,-0,"c(119888.656746309, -193990.837063199)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Middle Tule51,Middle Tule,2022,Live,Live,"USFS, Meyer",post_castle,15,216.45021645021646,0,16.082251082251084,-0,"c(120092.369194125, -194018.988009917)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Middle Tule52,Middle Tule,2022,Live,Live,"USFS, Meyer",post_castle,15,276.6106442577031,0,16.383053221288517,-0,"c(120102.312915229, -194049.438664298)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Middle Tule53,Middle Tule,2022,Live,Live,"USFS, Meyer",post_castle,15,407.1173924115101,0,17.03558696205755,-0,"c(120090.472802799, -194086.231733963)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
