tree_id,grove,postfire_status,prefire_status,survey_year,fire_yr,measure_delay,fire_id,burnsev,source,geometry
Middle Tule1013,Middle Tule,0,1,2022,2020,2,2020CASTLE,2,"USFS, Meyer","c(119233.291426422, -193450.021259987)"
Middle Tule1014,Middle Tule,0,1,2022,2020,2,2020CASTLE,2,"USFS, Meyer","c(119235.27751913, -193449.628902632)"
Middle Tule1015,Middle Tule,0,1,2022,2020,2,2020CASTLE,2,"USFS, Meyer","c(119229.032621293, -193441.629546889)"
Middle Tule1016,Middle Tule,0,1,2022,2020,2,2020CASTLE,2,"USFS, Meyer","c(119230.971455825, -193439.724174069)"
Middle Tule1017,Middle Tule,1,1,2022,2020,2,2020CASTLE,2,"USFS, Meyer","c(119229.285813177, -193417.746209796)"
Middle Tule1018,Middle Tule,1,1,2022,2020,2,2020CASTLE,2,"USFS, Meyer","c(119252.825892091, -193435.645699797)"
Middle Tule1019,Middle Tule,0,1,2022,2020,2,2020CASTLE,2,"USFS, Meyer","c(119256.828035714, -193435.820122166)"
Middle Tule114,Middle Tule,0,1,2022,2020,2,2020CASTLE,4,"USFS, Meyer","c(119019.876170404, -193271.140664229)"
Middle Tule151,Middle Tule,1,1,2022,2020,2,2020CASTLE,1,"USFS, Meyer","c(119274.075741705, -193028.347551549)"
Middle Tule152,Middle Tule,1,1,2022,2020,2,2020CASTLE,1,"USFS, Meyer","c(119297.76862666, -193051.138764193)"
Middle Tule153,Middle Tule,1,1,2022,2020,2,2020CASTLE,2,"USFS, Meyer","c(119281.092414443, -193093.04263112)"
Middle Tule154,Middle Tule,1,1,2022,2020,2,2020CASTLE,2,"USFS, Meyer","c(119246.330397065, -193067.746809627)"
Middle Tule155,Middle Tule,1,1,2022,2020,2,2020CASTLE,1,"USFS, Meyer","c(119233.644144054, -193109.435308407)"
Middle Tule158,Middle Tule,1,1,2022,2020,2,2020CASTLE,2,"USFS, Meyer","c(119229.275583489, -193097.530023086)"
Middle Tule159,Middle Tule,1,1,2022,2020,2,2020CASTLE,2,"USFS, Meyer","c(119226.217312829, -193095.585068054)"
Middle Tule1510,Middle Tule,1,1,2022,2020,2,2020CASTLE,2,"USFS, Meyer","c(119224.362358013, -193068.187474143)"
Middle Tule171,Middle Tule,1,1,2022,2020,2,2020CASTLE,2,"USFS, Meyer","c(119392.71328745, -192859.957763879)"
Middle Tule174,Middle Tule,1,1,2022,2020,2,2020CASTLE,2,"USFS, Meyer","c(119423.810504276, -192831.903910857)"
Middle Tule176,Middle Tule,1,1,2022,2020,2,2020CASTLE,2,"USFS, Meyer","c(119431.172078425, -192843.664384248)"
Middle Tule177,Middle Tule,1,1,2022,2020,2,2020CASTLE,2,"USFS, Meyer","c(119437.128540349, -192842.429426582)"
Middle Tule192,Middle Tule,1,1,2022,2020,2,2020CASTLE,1,"USFS, Meyer","c(119670.820225928, -192263.020104527)"
Middle Tule194,Middle Tule,1,1,2022,2020,2,2020CASTLE,1,"USFS, Meyer","c(119590.310877667, -192276.580159639)"
Mtn Home33,Mtn Home,1,1,2023,2020,3,2020CASTLE,4,"USFS, Meyer","c(119610.519152006, -199355.241310503)"
Mtn Home61,Mtn Home,1,1,2023,2020,3,2020CASTLE,4,"USFS, Meyer","c(117499.372611778, -198847.324623301)"
Mtn Home62,Mtn Home,1,1,2023,2020,3,2020CASTLE,4,"USFS, Meyer","c(117497.467631185, -198850.316702031)"
Mtn Home65,Mtn Home,1,1,2023,2020,3,2020CASTLE,4,"USFS, Meyer","c(117470.110064294, -198870.1666841)"
Mtn Home67,Mtn Home,1,1,2023,2020,3,2020CASTLE,4,"USFS, Meyer","c(117462.375755112, -198846.454857269)"
Mtn Home81,Mtn Home,1,1,2023,2020,3,2020CASTLE,2,"USFS, Meyer","c(117528.41442477, -198497.268919729)"
Mtn Home82,Mtn Home,1,1,2023,2020,3,2020CASTLE,2,"USFS, Meyer","c(117532.441910637, -198498.254568431)"
Mtn Home83,Mtn Home,1,1,2023,2020,3,2020CASTLE,2,"USFS, Meyer","c(117535.623802912, -198504.161105801)"
Mtn Home84,Mtn Home,1,1,2023,2020,3,2020CASTLE,2,"USFS, Meyer","c(117542.152321448, -198521.252222567)"
Mtn Home85,Mtn Home,1,1,2023,2020,3,2020CASTLE,3,"USFS, Meyer","c(117545.364036053, -198528.114263214)"
Mtn Home162,Mtn Home,0,1,2023,2020,3,2020CASTLE,4,"USFS, Meyer","c(116242.738897351, -197673.413859542)"
Mtn Home181,Mtn Home,1,1,2023,2020,3,2020CASTLE,1,"USFS, Meyer","c(116271.064811621, -197396.478347865)"
Mtn Home182,Mtn Home,1,1,2023,2020,3,2020CASTLE,1,"USFS, Meyer","c(116249.857994251, -197421.308287311)"
Mtn Home183,Mtn Home,1,1,2023,2020,3,2020CASTLE,1,"USFS, Meyer","c(116245.399773344, -197406.521174166)"
Mtn Home184,Mtn Home,1,1,2023,2020,3,2020CASTLE,1,"USFS, Meyer","c(116242.249319046, -197401.621204999)"
Mtn Home186,Mtn Home,1,1,2023,2020,3,2020CASTLE,1,"USFS, Meyer","c(116241.124597591, -197397.598710154)"
Mtn Home187,Mtn Home,1,1,2023,2020,3,2020CASTLE,1,"USFS, Meyer","c(116237.038263214, -197394.72659017)"
Mtn Home188,Mtn Home,1,1,2023,2020,3,2020CASTLE,1,"USFS, Meyer","c(116243.49798638, -197377.6020735)"
Mtn Home189,Mtn Home,1,1,2023,2020,3,2020CASTLE,1,"USFS, Meyer","c(116242.468357301, -197376.626273235)"
Mtn Home1810,Mtn Home,1,1,2023,2020,3,2020CASTLE,1,"USFS, Meyer","c(116236.538289377, -197378.707793612)"
Mtn Home1811,Mtn Home,1,1,2023,2020,3,2020CASTLE,1,"USFS, Meyer","c(116213.545076223, -197378.315509433)"
Mtn Home1812,Mtn Home,1,1,2023,2020,3,2020CASTLE,1,"USFS, Meyer","c(116259.08395723, -197364.761039701)"
Mtn Home1815,Mtn Home,1,1,2023,2020,3,2020CASTLE,1,"USFS, Meyer","c(116226.27843041, -197370.117015066)"
Mtn Home1816,Mtn Home,1,1,2023,2020,3,2020CASTLE,1,"USFS, Meyer","c(116226.247232783, -197369.117466975)"
Mtn Home1817,Mtn Home,1,1,2023,2020,3,2020CASTLE,1,"USFS, Meyer","c(116212.193395244, -197367.021390393)"
Mtn Home1818,Mtn Home,1,1,2023,2020,3,2020CASTLE,1,"USFS, Meyer","c(116216.660425272, -197350.078009501)"
Mtn Home1819,Mtn Home,1,1,2023,2020,3,2020CASTLE,1,"USFS, Meyer","c(116220.435719572, -197342.984679321)"
Mtn Home1820,Mtn Home,1,1,2023,2020,3,2020CASTLE,1,"USFS, Meyer","c(116240.527449137, -197346.45385615)"
Mtn Home1821,Mtn Home,1,1,2023,2020,3,2020CASTLE,1,"USFS, Meyer","c(116253.815644518, -197356.032000811)"
Mtn Home1822,Mtn Home,1,1,2023,2020,3,2020CASTLE,1,"USFS, Meyer","c(116244.254735746, -197337.822411963)"
Mtn Home201,Mtn Home,0,1,2023,2020,3,2020CASTLE,4,"USFS, Meyer","c(120142.192606149, -196958.177901486)"
Mtn Home231,Mtn Home,0,1,2023,2020,3,2020CASTLE,4,"USFS, Meyer","c(116533.653124611, -196173.889154004)"
Mtn Home261,Mtn Home,1,1,2023,2020,3,2020CASTLE,3,"USFS, Meyer","c(116495.579943841, -195594.423034556)"
Mtn Home262,Mtn Home,0,1,2023,2020,3,2020CASTLE,3,"USFS, Meyer","c(116495.931985182, -195573.694442071)"
Mtn Home263,Mtn Home,0,1,2023,2020,3,2020CASTLE,3,"USFS, Meyer","c(116463.230106902, -195582.36518176)"
Mtn Home264,Mtn Home,0,1,2023,2020,3,2020CASTLE,4,"USFS, Meyer","c(116454.321303848, -195521.036612964)"
Mtn Home265,Mtn Home,0,1,2023,2020,3,2020CASTLE,4,"USFS, Meyer","c(116503.639109932, -195500.516447292)"
Redwood Mtn161,Redwood Mtn,1,1,2023,2021,2,2021KNP_COMP,1,"USFS, Meyer","c(95267.2021102205, -144793.908803316)"
Redwood Mtn163,Redwood Mtn,1,1,2023,2021,2,2021KNP_COMP,1,"USFS, Meyer","c(95276.1208791713, -144791.61219756)"
Redwood Mtn164,Redwood Mtn,1,1,2023,2021,2,2021KNP_COMP,2,"USFS, Meyer","c(95299.4576438618, -144834.934915237)"
Redwood Mtn165,Redwood Mtn,1,1,2023,2021,2,2021KNP_COMP,2,"USFS, Meyer","c(95290.6313061645, -144840.177718832)"
Redwood Mtn166,Redwood Mtn,1,1,2023,2021,2,2021KNP_COMP,2,"USFS, Meyer","c(95295.9051560302, -144849.068868078)"
Redwood Mtn167,Redwood Mtn,1,1,2023,2021,2,2021KNP_COMP,1,"USFS, Meyer","c(95274.5082144489, -144835.734312147)"
Redwood Mtn168,Redwood Mtn,1,1,2023,2021,2,2021KNP_COMP,1,"USFS, Meyer","c(95272.5689015761, -144837.603644189)"
Redwood Mtn169,Redwood Mtn,1,1,2023,2021,2,2021KNP_COMP,1,"USFS, Meyer","c(95282.5608571734, -144869.51368292)"
Redwood Mtn1611,Redwood Mtn,1,1,2023,2021,2,2021KNP_COMP,1,"USFS, Meyer","c(95260.8149626311, -144845.056549825)"
Redwood Mtn1613,Redwood Mtn,1,1,2023,2021,2,2021KNP_COMP,1,"USFS, Meyer","c(95261.6654030135, -144872.163480818)"
Redwood Mtn1614,Redwood Mtn,1,1,2023,2021,2,2021KNP_COMP,1,"USFS, Meyer","c(95253.6202998798, -144870.465845527)"
Redwood Mtn1615,Redwood Mtn,1,1,2023,2021,2,2021KNP_COMP,1,"USFS, Meyer","c(95255.6098025991, -144838.354778886)"
Redwood Mtn1616,Redwood Mtn,1,1,2023,2021,2,2021KNP_COMP,1,"USFS, Meyer","c(95248.3056536989, -144860.274285723)"
Redwood Mtn171,Redwood Mtn,1,1,2023,2021,2,2021KNP_COMP,2,"USFS, Meyer","c(95302.6830955401, -144619.332228472)"
Redwood Mtn177,Redwood Mtn,1,1,2023,2021,2,2021KNP_COMP,1,"USFS, Meyer","c(95289.2469667616, -144636.849385208)"
Redwood Mtn178,Redwood Mtn,1,1,2023,2021,2,2021KNP_COMP,1,"USFS, Meyer","c(95287.7238511918, -144651.984128545)"
Redwood Mtn1712,Redwood Mtn,1,1,2023,2021,2,2021KNP_COMP,1,"USFS, Meyer","c(95280.0839495877, -144663.201527686)"
Redwood Mtn1713,Redwood Mtn,1,1,2023,2021,2,2021KNP_COMP,2,"USFS, Meyer","c(95271.3525035721, -144671.468623377)"
Redwood Mtn181,Redwood Mtn,1,1,2023,2021,2,2021KNP_COMP,3,"USFS, Meyer","c(95078.9740320972, -144462.11860881)"
Redwood Mtn192,Redwood Mtn,1,1,2023,2021,2,2021KNP_COMP,3,"USFS, Meyer","c(95285.8110106305, -144431.816434056)"
Redwood Mtn193,Redwood Mtn,1,1,2023,2021,2,2021KNP_COMP,2,"USFS, Meyer","c(95253.3438779051, -144447.72701302)"
Redwood Mtn201,Redwood Mtn,0,1,2023,2021,2,2021KNP_COMP,4,"USFS, Meyer","c(95062.4159194582, -144220.932860442)"
Redwood Mtn202,Redwood Mtn,0,1,2023,2021,2,2021KNP_COMP,4,"USFS, Meyer","c(95036.661672385, -144227.918938815)"
Redwood Mtn203,Redwood Mtn,0,1,2023,2021,2,2021KNP_COMP,4,"USFS, Meyer","c(95031.7309354612, -144229.963676615)"
Redwood Mtn204,Redwood Mtn,0,1,2023,2021,2,2021KNP_COMP,4,"USFS, Meyer","c(95027.6716871672, -144227.945098903)"
Redwood Mtn205,Redwood Mtn,0,1,2023,2021,2,2021KNP_COMP,4,"USFS, Meyer","c(95033.5056836115, -144222.849645043)"
Redwood Mtn206,Redwood Mtn,0,1,2023,2021,2,2021KNP_COMP,4,"USFS, Meyer","c(95009.2388650324, -144213.564248431)"
Upper Tule33,Upper Tule,1,1,2023,2020,3,2020CASTLE,2,"USFS, Meyer","c(119012.931940307, -192505.027878317)"
Upper Tule34,Upper Tule,1,1,2023,2020,3,2020CASTLE,2,"USFS, Meyer","c(118997.648129439, -192495.543906679)"
Upper Tule310,Upper Tule,1,1,2023,2020,3,2020CASTLE,2,"USFS, Meyer","c(119034.608911561, -192463.284428597)"
Upper Tule82,Upper Tule,1,1,2023,2020,3,2020CASTLE,3,"USFS, Meyer","c(119063.331583693, -192327.232296695)"
Upper Tule83,Upper Tule,1,1,2023,2020,3,2020CASTLE,3,"USFS, Meyer","c(119064.155062795, -192321.608013311)"
Upper Tule84,Upper Tule,1,1,2023,2020,3,2020CASTLE,1,"USFS, Meyer","c(119049.60652504, -192367.647876701)"
Upper Tule85,Upper Tule,1,1,2023,2020,3,2020CASTLE,1,"USFS, Meyer","c(119041.570397857, -192366.27888557)"
Upper Tule86,Upper Tule,1,1,2023,2020,3,2020CASTLE,1,"USFS, Meyer","c(119039.637382753, -192368.370123887)"
Upper Tule87,Upper Tule,1,1,2023,2020,3,2020CASTLE,1,"USFS, Meyer","c(119035.881333538, -192376.073378021)"
Upper Tule88,Upper Tule,1,1,2023,2020,3,2020CASTLE,1,"USFS, Meyer","c(119018.374605899, -192391.386255518)"
Upper Tule89,Upper Tule,1,1,2023,2020,3,2020CASTLE,1,"USFS, Meyer","c(119021.989794675, -192379.173664553)"
Upper Tule811,Upper Tule,1,1,2023,2020,3,2020CASTLE,1,"USFS, Meyer","c(119023.932754141, -192377.40076813)"
Upper Tule812,Upper Tule,1,1,2023,2020,3,2020CASTLE,1,"USFS, Meyer","c(119021.719798859, -192370.530391136)"
Upper Tule816,Upper Tule,1,1,2023,2020,3,2020CASTLE,2,"USFS, Meyer","c(119008.361716653, -192358.721934998)"
Upper Tule817,Upper Tule,1,1,2023,2020,3,2020CASTLE,2,"USFS, Meyer","c(119007.833138121, -192341.800779875)"
Upper Tule819,Upper Tule,1,1,2023,2020,3,2020CASTLE,2,"USFS, Meyer","c(119002.658438483, -192336.075373061)"
Upper Tule821,Upper Tule,1,1,2023,2020,3,2020CASTLE,2,"USFS, Meyer","c(119025.015237135, -192348.081816)"
Upper Tule822,Upper Tule,1,1,2023,2020,3,2020CASTLE,2,"USFS, Meyer","c(119023.914739838, -192344.838082755)"
Upper Tule823,Upper Tule,1,1,2023,2020,3,2020CASTLE,2,"USFS, Meyer","c(119016.720028065, -192338.418925931)"
Upper Tule824,Upper Tule,1,1,2023,2020,3,2020CASTLE,2,"USFS, Meyer","c(119016.629481846, -192335.520315738)"
Upper Tule825,Upper Tule,1,1,2023,2020,3,2020CASTLE,2,"USFS, Meyer","c(119006.242181081, -192322.856200169)"
Upper Tule826,Upper Tule,1,1,2023,2020,3,2020CASTLE,2,"USFS, Meyer","c(119021.585391838, -192334.24170733)"
Upper Tule101,Upper Tule,1,1,2023,2020,3,2020CASTLE,2,"USFS, Meyer","c(119154.624543085, -192339.026935834)"
Upper Tule102,Upper Tule,1,1,2023,2020,3,2020CASTLE,2,"USFS, Meyer","c(119151.569277934, -192369.163775725)"
Upper Tule103,Upper Tule,1,1,2023,2020,3,2020CASTLE,1,"USFS, Meyer","c(119118.908441993, -192379.145152431)"
Upper Tule104,Upper Tule,1,1,2023,2020,3,2020CASTLE,1,"USFS, Meyer","c(119128.352084687, -192361.600348171)"
Upper Tule105,Upper Tule,1,1,2023,2020,3,2020CASTLE,2,"USFS, Meyer","c(119098.594291172, -192336.571660146)"
Upper Tule106,Upper Tule,1,1,2023,2020,3,2020CASTLE,2,"USFS, Meyer","c(119115.85102714, -192345.241759245)"
Freeman Crk11,Freeman Crk,1,1,2024,2020,4,2020CASTLE,2,"USFS, Meyer","c(133178.228840808, -206211.337414663)"
Freeman Crk12,Freeman Crk,1,1,2024,2020,4,2020CASTLE,2,"USFS, Meyer","c(133173.820522999, -206230.164904709)"
Freeman Crk13,Freeman Crk,1,1,2024,2020,4,2020CASTLE,2,"USFS, Meyer","c(133171.980211791, -206235.230837259)"
Freeman Crk14,Freeman Crk,1,1,2024,2020,4,2020CASTLE,2,"USFS, Meyer","c(133108.094610517, -206269.374150669)"
Freeman Crk15,Freeman Crk,1,1,2024,2020,4,2020CASTLE,2,"USFS, Meyer","c(133125.258686072, -206211.036775418)"
Freeman Crk16,Freeman Crk,1,1,2024,2020,4,2020CASTLE,2,"USFS, Meyer","c(133128.113899968, -206174.474858611)"
Freeman Crk21,Freeman Crk,1,1,2024,2020,4,2020CASTLE,3,"USFS, Meyer","c(133358.394349932, -206252.897633312)"
Freeman Crk22,Freeman Crk,1,1,2024,2020,4,2020CASTLE,2,"USFS, Meyer","c(133292.006710185, -206270.919029831)"
Freeman Crk23,Freeman Crk,1,1,2024,2020,4,2020CASTLE,2,"USFS, Meyer","c(133307.879108902, -206235.215534559)"
Freeman Crk31,Freeman Crk,1,1,2024,2020,4,2020CASTLE,2,"USFS, Meyer","c(133636.813484372, -206208.904473316)"
Freeman Crk33,Freeman Crk,1,1,2024,2020,4,2020CASTLE,2,"USFS, Meyer","c(133656.006712707, -206183.545413423)"
Freeman Crk34,Freeman Crk,0,1,2024,2020,4,2020CASTLE,2,"USFS, Meyer","c(133623.778605852, -206239.475779695)"
Freeman Crk35,Freeman Crk,0,1,2024,2020,4,2020CASTLE,3,"USFS, Meyer","c(133604.532609459, -206263.145500139)"
Freeman Crk36,Freeman Crk,1,1,2024,2020,4,2020CASTLE,2,"USFS, Meyer","c(133613.980672647, -206245.709331804)"
Freeman Crk37,Freeman Crk,1,1,2024,2020,4,2020CASTLE,2,"USFS, Meyer","c(133622.147468678, -206219.243624158)"
Freeman Crk38,Freeman Crk,1,1,2024,2020,4,2020CASTLE,1,"USFS, Meyer","c(133604.181185077, -206219.897489144)"
Freeman Crk39,Freeman Crk,1,1,2024,2020,4,2020CASTLE,2,"USFS, Meyer","c(133618.006304209, -206214.629056153)"
Freeman Crk310,Freeman Crk,1,1,2024,2020,4,2020CASTLE,2,"USFS, Meyer","c(133613.764231646, -206206.78349286)"
Freeman Crk311,Freeman Crk,1,1,2024,2020,4,2020CASTLE,2,"USFS, Meyer","c(133614.478832207, -206197.668901433)"
Freeman Crk312,Freeman Crk,1,1,2024,2020,4,2020CASTLE,2,"USFS, Meyer","c(133620.657555063, -206203.533359519)"
Freeman Crk313,Freeman Crk,1,1,2024,2020,4,2020CASTLE,2,"USFS, Meyer","c(133628.581741726, -206201.295089511)"
Freeman Crk314,Freeman Crk,1,1,2024,2020,4,2020CASTLE,2,"USFS, Meyer","c(133630.105641081, -206218.093531859)"
Freeman Crk41,Freeman Crk,1,1,2024,2020,4,2020CASTLE,2,"USFS, Meyer","c(133960.667196824, -206211.8767004)"
Freeman Crk42,Freeman Crk,1,1,2024,2020,4,2020CASTLE,4,"USFS, Meyer","c(133798.097706229, -206189.815846546)"
Freeman Crk52,Freeman Crk,0,1,2024,2020,4,2020CASTLE,4,"USFS, Meyer","c(132942.283203855, -206431.466809038)"
Freeman Crk53,Freeman Crk,0,1,2024,2020,4,2020CASTLE,4,"USFS, Meyer","c(132976.331726272, -206465.824833086)"
Freeman Crk54,Freeman Crk,0,1,2024,2020,4,2020CASTLE,4,"USFS, Meyer","c(132954.833137432, -206481.359622676)"
Freeman Crk55,Freeman Crk,0,1,2024,2020,4,2020CASTLE,4,"USFS, Meyer","c(132899.316531038, -206463.512938891)"
Freeman Crk56,Freeman Crk,0,1,2024,2020,4,2020CASTLE,4,"USFS, Meyer","c(132905.102292971, -206456.794820908)"
Freeman Crk61,Freeman Crk,1,1,2024,2020,4,2020CASTLE,4,"USFS, Meyer","c(133052.375184027, -206373.023597727)"
Freeman Crk62,Freeman Crk,0,1,2024,2020,4,2020CASTLE,4,"USFS, Meyer","c(133075.49233341, -206377.319964885)"
Freeman Crk81,Freeman Crk,1,1,2024,2020,4,2020CASTLE,2,"USFS, Meyer","c(133547.596440105, -206391.825706324)"
Freeman Crk82,Freeman Crk,1,1,2024,2020,4,2020CASTLE,2,"USFS, Meyer","c(133547.722231973, -206395.853560486)"
Freeman Crk83,Freeman Crk,1,1,2024,2020,4,2020CASTLE,3,"USFS, Meyer","c(133559.635265549, -206393.3525937)"
Freeman Crk85,Freeman Crk,1,1,2024,2020,4,2020CASTLE,1,"USFS, Meyer","c(133544.117888542, -206440.424389341)"
Freeman Crk86,Freeman Crk,1,1,2024,2020,4,2020CASTLE,1,"USFS, Meyer","c(133542.460642634, -206451.352160614)"
Freeman Crk87,Freeman Crk,1,1,2024,2020,4,2020CASTLE,1,"USFS, Meyer","c(133546.734348147, -206460.210814975)"
Freeman Crk88,Freeman Crk,1,1,2024,2020,4,2020CASTLE,2,"USFS, Meyer","c(133542.062001563, -206470.584176332)"
Freeman Crk89,Freeman Crk,0,1,2024,2020,4,2020CASTLE,2,"USFS, Meyer","c(133514.885336125, -206464.289082109)"
Freeman Crk810,Freeman Crk,1,1,2024,2020,4,2020CASTLE,2,"USFS, Meyer","c(133516.976099739, -206435.246004222)"
Freeman Crk91,Freeman Crk,1,1,2024,2020,4,2020CASTLE,2,"USFS, Meyer","c(133749.728615874, -206368.835546427)"
Freeman Crk92,Freeman Crk,1,1,2024,2020,4,2020CASTLE,2,"USFS, Meyer","c(133767.177268008, -206383.602596872)"
Freeman Crk93,Freeman Crk,1,1,2024,2020,4,2020CASTLE,2,"USFS, Meyer","c(133779.376320907, -206390.259528365)"
Freeman Crk94,Freeman Crk,1,1,2024,2020,4,2020CASTLE,2,"USFS, Meyer","c(133739.325089752, -206451.666134289)"
