TreeNumber,YrsPostFire,Fire,GroveBasic,Grove_Name,Catface.ht.m,Catface.width.m,Aspect,DBH_cm,Height_m,HLC_m,CrnLength,CrnPercentOf,Scorch_.,Torch_.,Final_LiveDead,Green20,Yellow20,Brown20,MaxCharHt_m,Catface,LD,InSummaryStats,ForModelling,TPI4_10cel,TPI4_5cell,TPI6_5cell,GIS_Aspect_KS,GIS_Elev_KS,GIS_SlopeP_KS,GIS_CBI4_KS,PercentBasalChar5cm,Notes,CircCatface,Cat1_area,EpiPres,EpiPercents,Ht_Scorch,Ht_Torch,ScorchTorchTotal,LiveStatus2018,LiveStatus2019,LiveStatus2020,AvgCharHt_m,CircCharred_.,AvgCharDepth_cm,Prefire_TreeVigor,VigorCode,Chimney,Broken.Top,Fire.Severity,InterCrnsCnt,InflCrnsCnt,FrstStructreTree,AllTrees,Con,Hrdwd,UNKNOWN,PreDead,PreLive,Con.PreDead,Con.PreLive,Hrdwd.PreDead,Hrdwd.PreLive,UNKNOWN.PreDead,ABCO,CADE,CONU,PILA,PIPO,QUKE,SEGI,ALRH,PINUS.all,CADE.SEGI.Total,AvgHeight,SDht,SEht,ConAvgHeight,ConSDht,ConSEht,PercPreDead,Avg_Ht_diff,ConAvg_Ht_diff,YearDead,SurrScorchAvg,SurrTorchAvg,UNKNOWN.PreLive,QUCH,QUWI,TOCA,Avg_HtLive_diff,ConAvg_HtLive_diff,EnoughVisits,Basal_Char_Circumference_m.Percent,LMU,PatchType,PatchRank,AET,CWD
BM247,3,Pier,Black Mountain,Black Mountain,0,0,125,177.2,68.5,68,0.5,0.00729927,99,0,Live,1,0,0,45.7,No,0,Yes,Yes,3,3,4,114.9449997,1826.959961,17.54240036,3,NA,NA,0,0,No,0,68,0,99,Live,Live,Live,34,100,14,NA,2,No,No,Moderate,3,0,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Live,95,0,NA,NA,NA,NA,NA,NA,NA,NA,Canyon/Drainage Bottom,Intermediate,2,375.2000122,724.0200195
BM248,3,Pier,Black Mountain,Black Mountain,0,0,125,137.8,57,31.1,25.9,0.454385965,100,0,Dead,0,0,0,38.1,No,1,Yes,Yes,3,3,4,114.9449997,1826.959961,17.54240036,3,NA,NA,0,0,No,0,57,0,100,Dead,Dead,Dead,26.2,100,6,Healthy full,1,No,No,Moderate,3,1,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,95,0,NA,NA,NA,NA,NA,NA,NA,NA,Canyon/Drainage Bottom,Intermediate,2,375.2000122,724.0200195
BM249,3,Pier,Black Mountain,Black Mountain,0,0,140,234.6,63.5,28.9,34.6,0.54488189,80,0,Live,20,0,0,32.3,No,0,Yes,Yes,3,3,2,117.7979965,1823.72998,17.88529968,3,NA,NA,0,0,No,0,60.8,0,80,Live,Live,Live,26.1,100,3,Full healthy,1,No,No,Moderate,0,3,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Live,20,80,NA,NA,NA,NA,NA,NA,NA,NA,Canyon/Drainage Bottom,Intermediate,2,375.2000122,724.0200195
BM250,3,Pier,Black Mountain,Black Mountain,2.9,0.82,148,474.2,72.9,31.3,41.6,0.570644719,10,0,Live,90,0,0,25,Yes,0,Yes,Yes,3,3,4,137.3049927,1808.22998,19.41769981,3,NA,NA,50,2.378,No,0,36.9,0,10,Live,Live,Live,17.6,100,4,Full healthy,1,No,Yes,Moderate,4,2,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Live,95,5,NA,NA,NA,NA,NA,NA,NA,NA,Canyon/Drainage Bottom,Intermediate,2,377.1270142,737.8029785
BM251,3,Pier,Black Mountain,Black Mountain,0,0,140,303.2,71.5,16.2,55.3,0.773426573,50,0,Live,50,10,40,33.7,No,0,Yes,Yes,1,3,1,135.5610046,1826.390015,18.45779991,3,NA,NA,0,0,No,0,48.2,0,50,Live,Live,Live,22.8,100,5,Full healthy,1,No,No,Moderate,2,2,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Live,75,20,NA,NA,NA,NA,NA,NA,NA,NA,Ridge,Intermediate,2,375.2000122,724.0200195
BM252,3,Pier,Black Mountain,Black Mountain,1.36,2.2,152,437.4,43.5,16.3,27.2,0.625287356,90,0,Dead,0,0,10,38.1,Yes,1,Yes,Yes,1,3,1,155.0820007,1840.099976,34.02000046,3,NA,NA,45,2.992,No,0,43.5,0,100,Dead,Dead,Dead,33.3,100,4,Unhealthy ,3,No,-1,High moderate,3,1,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,70,25,NA,NA,NA,NA,NA,NA,NA,NA,Ridge,Intermediate,2,375.2000122,724.0200195
BM253,3,Pier,Black Mountain,Black Mountain,0,0,72,132,60.2,14.7,45.5,0.755813953,5,0,Live,95,0,0,7,No,0,Yes,Yes,4,4,6,62.27870178,1820,43.01340103,2,NA,NA,0,0,No,0,16,0,5,Live,Live,Live,4.7,95,1,Healthy full,1,No,No,Low moderate,2,2,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Live,40,5,NA,NA,NA,NA,NA,NA,NA,NA,Midslope NE >30% slope,Intermediate,2,370.1329956,710.572998
BM254,3,Pier,Black Mountain,Black Mountain,3.8,2.15,NA,465.9,80,28.2,51.8,0.6475,90,0,Dead,0,8,2,45.7,Yes,1,Yes,Yes,1,1,1,334.3609924,1749.819946,12.29409981,3,NA,NA,10,8.17,No,0,72.8,0,90,Live,Live,Yellow,25.5,100,5,Healthy full,1,No,No,Moderate-high,1,1,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,85,5,NA,NA,NA,NA,NA,NA,NA,NA,Canyon/Drainage Bottom,Intermediate,2,382.4769897,745.4569702
BM255,3,Pier,Black Mountain,Black Mountain,0,0,NA,185.2,63.4,23,40.4,0.637223975,70,0,Live,28,0,2,28.2,No,0,Yes,Yes,1,1,1,70.67680359,1753.27002,14.73659992,3,NA,NA,0,0,Yes,NA,55.8,0,70,Live,Live,Live,21.5,100,1,Healthy full,1,No,No,Moderate,0,1,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Live,80,0,NA,NA,NA,NA,NA,NA,NA,NA,Canyon/Drainage Bottom,Intermediate,2,382.4769897,745.4569702
BM256,3,Pier,Black Mountain,Black Mountain,0,0,121,159.2,46.8,12.7,34.1,0.728632479,55,0,Live,45,0,0,29.2,No,0,Yes,Yes,3,3,4,138.0319977,1866.099976,29.99270058,4,NA,NA,0,0,Yes,5,34.9,0,55,Live,Live,Live,22.5,100,3,Healthy/Full,1,No,No,Very High scorch,1,4,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Live,75,25,NA,NA,NA,NA,NA,NA,NA,NA,Ridge,Intermediate,2,375.2000122,724.0200195
